epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.1358,1.69724,3.36721,1.58529,0.23154,0.25967,0.19026,0.09841,1.66733,2.6959,1.60144,0.000330709,0.000330709,0.000330709
2,67.0242,1.71846,2.54662,1.60484,0.267,0.29747,0.21897,0.10853,1.69704,2.51212,1.6603,0.000650894,0.000650894,0.000650894
3,87.2787,1.69362,2.26604,1.6118,0.34096,0.32738,0.26863,0.13907,1.65512,2.23915,1.63163,0.000957879,0.000957879,0.000957879
4,107.176,1.68801,2.21457,1.59453,0.35142,0.33895,0.30394,0.14969,1.70147,2.19697,1.7138,0.0009406,0.0009406,0.0009406
5,127.85,1.65968,2.16247,1.59214,0.33757,0.39693,0.29685,0.14695,1.66485,2.15137,1.62157,0.0009208,0.0009208,0.0009208
6,148.618,1.6428,2.13897,1.60037,0.33736,0.38176,0.27511,0.14075,1.67272,2.63432,1.67404,0.000901,0.000901,0.000901
7,168.829,1.61999,2.05598,1.57684,0.33849,0.34054,0.27985,0.14259,1.65972,2.25938,1.67279,0.0008812,0.0008812,0.0008812
8,189.058,1.61758,2.03671,1.55705,0.32283,0.30368,0.31118,0.16555,1.63247,2.09793,1.6403,0.0008614,0.0008614,0.0008614
9,209.551,1.60429,1.95278,1.54722,0.3709,0.42222,0.30893,0.16014,1.68043,2.42981,1.60714,0.0008416,0.0008416,0.0008416
10,229.474,1.5948,1.91329,1.53781,0.36749,0.4038,0.33418,0.17309,1.63509,2.00057,1.61201,0.0008218,0.0008218,0.0008218
11,249.359,1.59092,1.93213,1.54489,0.38101,0.38841,0.34093,0.17744,1.61796,1.96014,1.63286,0.000802,0.000802,0.000802
12,269.578,1.59119,1.84972,1.53437,0.46709,0.37698,0.38387,0.20389,1.61652,1.92038,1.62411,0.0007822,0.0007822,0.0007822
13,289.566,1.56359,1.84265,1.52676,0.43256,0.40239,0.36793,0.19602,1.61035,1.90106,1.5896,0.0007624,0.0007624,0.0007624
14,309.607,1.56668,1.79172,1.51488,0.39695,0.41766,0.34399,0.18712,1.58802,2.02391,1.57751,0.0007426,0.0007426,0.0007426
15,329.429,1.55457,1.81112,1.51344,0.44977,0.43422,0.39892,0.21116,1.59548,1.81875,1.58629,0.0007228,0.0007228,0.0007228
16,349.322,1.54533,1.7346,1.49789,0.40325,0.4146,0.34466,0.18076,1.65164,2.0458,1.60655,0.000703,0.000703,0.000703
17,369.125,1.54487,1.72671,1.50149,0.44816,0.4296,0.41403,0.22444,1.59532,1.80997,1.56559,0.0006832,0.0006832,0.0006832
18,389.147,1.52147,1.68179,1.49242,0.45122,0.46538,0.41839,0.22421,1.60878,1.82981,1.61095,0.0006634,0.0006634,0.0006634
19,409.409,1.51766,1.6668,1.49244,0.42595,0.43492,0.39699,0.21441,1.57132,1.85609,1.58278,0.0006436,0.0006436,0.0006436
20,429.275,1.51838,1.67299,1.48025,0.44823,0.41276,0.38991,0.21326,1.57884,1.87466,1.57435,0.0006238,0.0006238,0.0006238
21,449.176,1.51004,1.60973,1.48293,0.41308,0.45789,0.41172,0.22161,1.59589,1.76251,1.57463,0.000604,0.000604,0.000604
22,468.846,1.49903,1.58616,1.46837,0.47292,0.4674,0.44322,0.23711,1.61575,1.75974,1.61583,0.0005842,0.0005842,0.0005842
23,488.655,1.49852,1.57146,1.47028,0.48648,0.43507,0.41667,0.22835,1.56021,1.75627,1.56182,0.0005644,0.0005644,0.0005644
24,508.341,1.47849,1.54437,1.44984,0.49621,0.46078,0.44824,0.24526,1.56355,1.70042,1.56288,0.0005446,0.0005446,0.0005446
25,528.208,1.4883,1.53882,1.45827,0.49481,0.45604,0.44804,0.24655,1.54519,1.74038,1.53618,0.0005248,0.0005248,0.0005248
26,547.889,1.47654,1.54054,1.44642,0.45711,0.45358,0.43719,0.23679,1.56598,1.71232,1.55537,0.000505,0.000505,0.000505
27,567.576,1.47723,1.50627,1.44558,0.51613,0.46615,0.48555,0.26392,1.54236,1.63941,1.54129,0.0004852,0.0004852,0.0004852
28,587.323,1.45806,1.46627,1.42989,0.49433,0.47234,0.46564,0.25728,1.54322,1.67382,1.53548,0.0004654,0.0004654,0.0004654
29,607.137,1.44377,1.44874,1.42938,0.47204,0.48544,0.46067,0.25662,1.53718,1.70189,1.53494,0.0004456,0.0004456,0.0004456
30,626.972,1.46246,1.43385,1.41989,0.514,0.49662,0.49298,0.26946,1.56354,1.63957,1.56182,0.0004258,0.0004258,0.0004258
31,646.747,1.42968,1.43196,1.41708,0.52004,0.46382,0.48381,0.26556,1.56697,1.61408,1.54702,0.000406,0.000406,0.000406
32,666.451,1.43588,1.40503,1.41121,0.50728,0.46787,0.47036,0.26012,1.54426,1.63485,1.54739,0.0003862,0.0003862,0.0003862
33,686.173,1.40542,1.37391,1.39743,0.51141,0.4806,0.48301,0.26869,1.55153,1.63091,1.551,0.0003664,0.0003664,0.0003664
34,706.142,1.42817,1.40222,1.4188,0.51286,0.46457,0.47941,0.26371,1.55908,1.59757,1.53621,0.0003466,0.0003466,0.0003466
35,726.007,1.41795,1.35186,1.38696,0.51095,0.50762,0.50384,0.28165,1.54414,1.55854,1.53371,0.0003268,0.0003268,0.0003268
36,745.803,1.40149,1.31856,1.38644,0.5288,0.49336,0.49803,0.27679,1.5428,1.5548,1.52957,0.000307,0.000307,0.000307
37,765.636,1.4087,1.31477,1.38618,0.52992,0.47165,0.49348,0.2779,1.53873,1.55469,1.52433,0.0002872,0.0002872,0.0002872
38,785.303,1.40552,1.32903,1.37636,0.51141,0.47693,0.47924,0.27025,1.54165,1.63085,1.52274,0.0002674,0.0002674,0.0002674
39,804.883,1.35405,1.29201,1.36496,0.53242,0.50529,0.50876,0.28389,1.56116,1.54604,1.54422,0.0002476,0.0002476,0.0002476
40,824.498,1.37282,1.27302,1.35839,0.51092,0.50177,0.50393,0.28143,1.55744,1.58657,1.54009,0.0002278,0.0002278,0.0002278
41,844.615,1.37952,1.31488,1.38786,0.51534,0.47483,0.48062,0.26374,1.5632,1.60962,1.54568,0.000208,0.000208,0.000208
42,863.964,1.34209,1.25447,1.36318,0.49226,0.5167,0.4909,0.26757,1.57745,1.58579,1.54921,0.0001882,0.0001882,0.0001882
43,883.248,1.33751,1.22516,1.36375,0.51785,0.49648,0.50037,0.27808,1.55269,1.58423,1.52906,0.0001684,0.0001684,0.0001684
44,902.541,1.32287,1.20201,1.33976,0.55428,0.47942,0.50954,0.28357,1.5712,1.54361,1.53945,0.0001486,0.0001486,0.0001486
45,921.886,1.31804,1.18903,1.33831,0.52409,0.50781,0.5151,0.28976,1.54913,1.5399,1.53563,0.0001288,0.0001288,0.0001288
46,941.271,1.29758,1.15618,1.3366,0.53095,0.49023,0.51628,0.2875,1.55884,1.54036,1.53849,0.000109,0.000109,0.000109
47,960.676,1.30262,1.14295,1.3319,0.50466,0.52113,0.50894,0.28549,1.55823,1.54394,1.53756,8.92e-05,8.92e-05,8.92e-05
48,980.194,1.29248,1.12212,1.31716,0.52543,0.50902,0.5087,0.28369,1.55066,1.53797,1.53464,6.94e-05,6.94e-05,6.94e-05
49,999.812,1.29109,1.12334,1.32414,0.54568,0.49987,0.51673,0.29079,1.54217,1.52601,1.52866,4.96e-05,4.96e-05,4.96e-05
50,1019.1,1.28107,1.11618,1.32387,0.55471,0.4831,0.51955,0.29012,1.54838,1.52512,1.53212,2.98e-05,2.98e-05,2.98e-05
