epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,153.183,0.96215,2.6731,2.6741,1.32539,0,0.51575,0.55216,0.52442,0.38717,0.4957,0.52585,0.48705,0.37372,0.85242,2.3541,1.73705,1.25753,0,0.000332793,0.000332793,0.000332793
2,274.592,1.03053,2.69601,2.06329,1.36051,0,0.51503,0.47227,0.49809,0.37147,0.50179,0.46081,0.47028,0.35727,0.83792,2.40173,1.63642,1.27086,0,0.000659532,0.000659532,0.000659532
3,394.615,1.05687,2.74335,1.94874,1.38527,0,0.56939,0.43661,0.44391,0.33206,0.53917,0.40486,0.39775,0.28481,0.89637,2.64737,2.01183,1.33306,0,0.00097967,0.00097967,0.00097967
4,514.113,1.04376,2.7385,1.86168,1.38294,0,0.58362,0.52825,0.57991,0.42538,0.58607,0.44125,0.49725,0.36198,0.89144,2.76541,1.49436,1.35857,0,0.0009703,0.0009703,0.0009703
5,633.681,1.0243,2.69114,1.75283,1.36361,0,0.61099,0.62479,0.6045,0.47699,0.59067,0.6076,0.5694,0.44743,0.70215,2.12302,1.2243,1.16469,0,0.0009604,0.0009604,0.0009604
6,752.952,0.98113,2.61116,1.65314,1.33331,0,0.65585,0.6356,0.6887,0.52608,0.65132,0.60899,0.65344,0.49297,0.73492,2.21435,1.1629,1.1706,0,0.0009505,0.0009505,0.0009505
7,871.81,0.96582,2.5732,1.60587,1.32818,0,0.71833,0.63338,0.72426,0.57626,0.68966,0.60292,0.67449,0.52617,0.68178,2.26545,0.9897,1.14205,0,0.0009406,0.0009406,0.0009406
8,991.221,0.94719,2.53723,1.55037,1.3112,0,0.73533,0.58866,0.68135,0.54147,0.70697,0.55973,0.63074,0.47861,0.67092,2.26155,1.06844,1.13595,0,0.0009307,0.0009307,0.0009307
9,1110.14,0.93183,2.51507,1.4894,1.29965,0,0.70708,0.65224,0.74711,0.60942,0.69523,0.63013,0.69685,0.56072,0.61596,2.24542,0.98635,1.07945,0,0.0009208,0.0009208,0.0009208
10,1229.88,0.91368,2.49462,1.42923,1.28878,0,0.72989,0.71949,0.76728,0.61937,0.7168,0.67861,0.71056,0.56759,0.61585,2.051,0.86916,1.09153,0,0.0009109,0.0009109,0.0009109
11,1349.72,0.9093,2.46924,1.41299,1.28184,0,0.72998,0.72304,0.7651,0.62903,0.71001,0.67575,0.70792,0.56694,0.60691,2.02682,0.91427,1.08146,0,0.000901,0.000901,0.000901
12,1468.62,0.8942,2.44002,1.37179,1.27837,0,0.75449,0.67229,0.78928,0.64986,0.72778,0.64446,0.73857,0.60143,0.62037,2.14901,0.87362,1.09863,0,0.0008911,0.0008911,0.0008911
13,1588.09,0.88639,2.4553,1.34974,1.26832,0,0.6784,0.66756,0.75557,0.61061,0.66812,0.6304,0.6965,0.55957,0.63584,1.97887,0.95008,1.12991,0,0.0008812,0.0008812,0.0008812
14,1707.49,0.876,2.39005,1.33044,1.2662,0,0.70773,0.71744,0.77033,0.63608,0.68226,0.68708,0.72151,0.58068,0.59802,2.2118,0.87975,1.09316,0,0.0008713,0.0008713,0.0008713
15,1827.4,0.88119,2.39771,1.295,1.26633,0,0.73483,0.69372,0.75341,0.62274,0.71077,0.66952,0.70166,0.57052,0.59045,2.24964,0.88491,1.07681,0,0.0008614,0.0008614,0.0008614
16,1946.67,0.86396,2.34321,1.2692,1.25432,0,0.73841,0.70259,0.7668,0.63605,0.72434,0.66476,0.70725,0.5675,0.59513,2.4742,0.89988,1.09409,0,0.0008515,0.0008515,0.0008515
17,2065.89,0.85704,2.38575,1.26582,1.2466,0,0.77606,0.70751,0.8056,0.66921,0.74804,0.67821,0.74538,0.61633,0.57076,2.27061,0.79189,1.06906,0,0.0008416,0.0008416,0.0008416
18,2185.99,0.85446,2.36815,1.2349,1.24653,0,0.7846,0.69242,0.79584,0.66403,0.76109,0.65803,0.74122,0.60561,0.57026,2.15956,0.81157,1.05876,0,0.0008317,0.0008317,0.0008317
19,2305.01,0.83832,2.33325,1.20413,1.23651,0,0.81862,0.67068,0.80466,0.65879,0.74941,0.67014,0.7509,0.59023,0.60913,2.12223,0.79282,1.0854,0,0.0008218,0.0008218,0.0008218
20,2424.34,0.83122,2.30853,1.18983,1.23485,0,0.79318,0.73697,0.79006,0.66092,0.75637,0.70101,0.73344,0.61336,0.55594,2.06746,0.79104,1.05401,0,0.0008119,0.0008119,0.0008119
21,2543.46,0.82926,2.30497,1.1611,1.23006,0,0.79386,0.76191,0.81852,0.6963,0.76524,0.72901,0.75503,0.62416,0.53969,2.01443,0.72232,1.03589,0,0.000802,0.000802,0.000802
22,2663.46,0.82541,2.30014,1.14353,1.22235,0,0.78703,0.72857,0.83234,0.70127,0.76428,0.69341,0.77518,0.63125,0.54039,2.07269,0.74606,1.04567,0,0.0007921,0.0007921,0.0007921
23,2782.72,0.81787,2.27004,1.13637,1.22337,0,0.78239,0.76459,0.84351,0.70065,0.75698,0.7369,0.79128,0.64941,0.54877,1.87268,0.72111,1.04656,0,0.0007822,0.0007822,0.0007822
24,2902.59,0.82001,2.29007,1.1269,1.2253,0,0.75798,0.75301,0.82983,0.70293,0.72361,0.70417,0.76559,0.64269,0.52499,1.88933,0.76036,1.03832,0,0.0007723,0.0007723,0.0007723
25,3021.93,0.80716,2.24531,1.13035,1.22352,0,0.78124,0.72059,0.81556,0.68941,0.76832,0.68822,0.76499,0.63881,0.53574,2.12023,0.74875,1.03491,0,0.0007624,0.0007624,0.0007624
26,3141.7,0.80349,2.22834,1.10814,1.21208,0,0.80178,0.74737,0.84431,0.70831,0.77585,0.70893,0.78636,0.65704,0.52358,2.06389,0.741,1.02936,0,0.0007525,0.0007525,0.0007525
27,3261.07,0.80016,2.26107,1.08407,1.20928,0,0.83917,0.73177,0.82257,0.68756,0.82106,0.68434,0.7722,0.63436,0.52368,1.94975,0.69421,1.02614,0,0.0007426,0.0007426,0.0007426
28,3379.76,0.78916,2.21702,1.07447,1.20798,0,0.79436,0.76107,0.83951,0.70334,0.77527,0.72366,0.78249,0.65285,0.52567,2.11073,0.71129,1.03473,0,0.0007327,0.0007327,0.0007327
29,3498.87,0.77947,2.19786,1.05154,1.19794,0,0.80304,0.75674,0.83318,0.70657,0.7673,0.70811,0.77143,0.64495,0.50832,2.07646,0.74885,1.02794,0,0.0007228,0.0007228,0.0007228
30,3617.84,0.78627,2.22245,1.06677,1.20313,0,0.7953,0.75312,0.82897,0.70269,0.77846,0.70976,0.77385,0.63504,0.52228,2.14243,0.73968,1.02368,0,0.0007129,0.0007129,0.0007129
31,3736.84,0.78037,2.19336,1.04493,1.1984,0,0.7533,0.76526,0.81399,0.69402,0.77333,0.6979,0.75743,0.62769,0.50429,2.21362,0.72232,1.02427,0,0.000703,0.000703,0.000703
32,3856.04,0.79142,2.20177,1.04556,1.20402,0,0.84335,0.69698,0.82917,0.70988,0.80907,0.66148,0.7613,0.6364,0.49806,2.00538,0.70759,1.01429,0,0.0006931,0.0006931,0.0006931
33,3975,0.7696,2.16627,1.01619,1.19105,0,0.7194,0.7597,0.77421,0.66355,0.74933,0.66757,0.73101,0.61052,0.50253,1.97762,0.81659,1.02008,0,0.0006832,0.0006832,0.0006832
34,4094.38,0.76311,2.16166,1.01482,1.19013,0,0.83077,0.72553,0.83419,0.71829,0.81404,0.68657,0.7791,0.66065,0.50764,1.99831,0.71043,1.0285,0,0.0006733,0.0006733,0.0006733
35,4214.25,0.76981,2.13505,0.99546,1.18593,0,0.78734,0.71418,0.82074,0.7086,0.76882,0.68236,0.76679,0.65142,0.4759,2.04129,0.70594,1.00335,0,0.0006634,0.0006634,0.0006634
36,4333.67,0.75341,2.1235,0.98045,1.17985,0,0.7929,0.74577,0.82042,0.70097,0.77308,0.71699,0.76689,0.64335,0.49661,2.09174,0.73157,1.01598,0,0.0006535,0.0006535,0.0006535
37,4452.91,0.76132,2.12329,0.97535,1.17863,0,0.84897,0.73954,0.83909,0.71851,0.83061,0.71461,0.78711,0.66316,0.5064,2.06013,0.67145,1.02974,0,0.0006436,0.0006436,0.0006436
38,4572.17,0.75783,2.14595,0.97419,1.18282,0,0.80642,0.76763,0.84156,0.71642,0.77703,0.73739,0.78714,0.65762,0.51501,1.98999,0.64647,1.03531,0,0.0006337,0.0006337,0.0006337
39,4691.25,0.75381,2.1349,0.96136,1.1755,0,0.79494,0.74163,0.8238,0.70536,0.7733,0.71248,0.76237,0.6451,0.49349,1.98559,0.73455,1.01185,0,0.0006238,0.0006238,0.0006238
40,4810.26,0.74617,2.12769,0.95521,1.17502,0,0.8269,0.77928,0.85302,0.73453,0.81714,0.72546,0.79032,0.66861,0.48253,2.11206,0.64361,1.01077,0,0.0006139,0.0006139,0.0006139
41,4929.86,0.75419,2.11523,0.95641,1.17709,0,0.83013,0.74395,0.85414,0.73541,0.79377,0.70906,0.77826,0.65826,0.49276,2.13639,0.64393,1.01397,0,0.000604,0.000604,0.000604
42,5049.44,0.74714,2.11446,0.94034,1.17025,0,0.75246,0.76794,0.82729,0.70558,0.73696,0.74045,0.77382,0.64488,0.4955,1.8639,0.73574,1.00951,0,0.0005941,0.0005941,0.0005941
43,5168.06,0.74297,2.07614,0.93995,1.17528,0,0.7844,0.77125,0.81784,0.70572,0.77499,0.73206,0.76079,0.64174,0.47939,2.10589,0.70847,1.00125,0,0.0005842,0.0005842,0.0005842
44,5287.9,0.7368,2.03964,0.92197,1.16432,0,0.81664,0.77141,0.85852,0.73923,0.80826,0.71156,0.7986,0.67141,0.47543,2.18366,0.61284,1.00556,0,0.0005743,0.0005743,0.0005743
45,5407.23,0.74832,2.07042,0.92373,1.17088,0,0.79146,0.7619,0.843,0.72965,0.76771,0.71959,0.78363,0.65867,0.47502,2.22271,0.67107,1.00002,0,0.0005644,0.0005644,0.0005644
46,5527.27,0.73808,2.06384,0.91786,1.16333,0,0.86556,0.75548,0.86571,0.7498,0.83384,0.7279,0.80465,0.68323,0.48339,2.26601,0.60838,1.0107,0,0.0005545,0.0005545,0.0005545
47,5646.62,0.72561,2.03427,0.91703,1.1591,0,0.82925,0.75697,0.85281,0.73034,0.79109,0.72208,0.78518,0.66354,0.49893,2.16958,0.67338,1.01987,0,0.0005446,0.0005446,0.0005446
48,5766.1,0.72246,2.03704,0.88938,1.15822,0,0.82821,0.77373,0.87549,0.75816,0.79709,0.74359,0.81184,0.69022,0.46748,1.9671,0.60447,0.99065,0,0.0005347,0.0005347,0.0005347
49,5885.63,0.71356,2.00108,0.88744,1.1555,0,0.8053,0.76292,0.84436,0.72929,0.78044,0.72199,0.78847,0.67103,0.4719,2.21786,0.66176,0.99703,0,0.0005248,0.0005248,0.0005248
50,6005.66,0.72676,2.02409,0.88989,1.15294,0,0.85237,0.74538,0.85282,0.73859,0.823,0.70722,0.79355,0.67616,0.4716,1.91708,0.62358,1.00446,0,0.0005149,0.0005149,0.0005149
51,6125.57,0.71266,2.0024,0.867,1.14945,0,0.8532,0.74929,0.85794,0.74295,0.81884,0.71361,0.78722,0.67386,0.47445,2.10731,0.632,1.00472,0,0.000505,0.000505,0.000505
52,6245,0.70684,1.97969,0.85123,1.14282,0,0.84219,0.74479,0.85438,0.74353,0.8146,0.71886,0.80244,0.67989,0.47961,2.12368,0.62847,1.00856,0,0.0004951,0.0004951,0.0004951
53,6364.28,0.71319,1.9718,0.86541,1.1512,0,0.81626,0.81352,0.87232,0.75889,0.79126,0.75993,0.80573,0.68879,0.46083,2.06158,0.59189,0.99592,0,0.0004852,0.0004852,0.0004852
54,6483.89,0.70597,1.97495,0.85259,1.14647,0,0.883,0.77834,0.87462,0.76015,0.84217,0.74284,0.81639,0.69538,0.45221,2.02816,0.59958,0.98872,0,0.0004753,0.0004753,0.0004753
55,6603.73,0.70706,1.98789,0.85015,1.1437,0,0.80496,0.78385,0.8548,0.74148,0.79403,0.73628,0.79378,0.67498,0.46923,2.09731,0.62676,0.99848,0,0.0004654,0.0004654,0.0004654
56,6723.8,0.7051,1.96289,0.84667,1.14029,0,0.83771,0.75604,0.86072,0.74774,0.7996,0.72094,0.79593,0.68408,0.46718,2.10383,0.62174,0.99394,0,0.0004555,0.0004555,0.0004555
57,6842.89,0.6974,1.94664,0.83379,1.13687,0,0.84657,0.76605,0.86601,0.7541,0.83927,0.71186,0.80764,0.6922,0.46345,1.99908,0.62706,0.9948,0,0.0004456,0.0004456,0.0004456
58,6962.24,0.70225,1.94396,0.82748,1.14034,0,0.85704,0.77954,0.87235,0.7612,0.83507,0.74546,0.81093,0.69499,0.46134,1.99853,0.59641,0.99728,0,0.0004357,0.0004357,0.0004357
59,7082.64,0.7051,1.94264,0.828,1.14393,0,0.85995,0.75675,0.86801,0.76177,0.81857,0.74541,0.8059,0.691,0.451,2.09818,0.60009,0.99026,0,0.0004258,0.0004258,0.0004258
60,7202.94,0.69916,1.94664,0.81523,1.13885,0,0.86269,0.76542,0.86963,0.75292,0.81177,0.7349,0.80425,0.68204,0.45392,2.14867,0.59306,0.98638,0,0.0004159,0.0004159,0.0004159
61,7322.32,0.68428,1.94829,0.80875,1.1322,0,0.82081,0.8039,0.86515,0.75141,0.84482,0.72857,0.80018,0.68144,0.44492,2.21912,0.5867,0.97241,0,0.000406,0.000406,0.000406
62,7441.94,0.68054,1.91009,0.8023,1.12938,0,0.85781,0.78742,0.87514,0.77176,0.82195,0.74735,0.81717,0.70302,0.44347,2.02226,0.58963,0.97692,0,0.0003961,0.0003961,0.0003961
63,7561.86,0.68041,1.89003,0.79731,1.12779,0,0.79397,0.77837,0.85268,0.74615,0.7631,0.74204,0.78574,0.67245,0.44032,2.11019,0.62393,0.97908,0,0.0003862,0.0003862,0.0003862
64,7681.57,0.67294,1.88172,0.77918,1.12192,0,0.82775,0.78362,0.86877,0.75737,0.78993,0.7472,0.80365,0.6872,0.44716,2.06736,0.60595,0.98524,0,0.0003763,0.0003763,0.0003763
65,7801.04,0.68366,1.89837,0.80165,1.12967,0,0.82341,0.77359,0.8708,0.75683,0.836,0.70244,0.80758,0.68563,0.4431,2.10669,0.59259,0.97757,0,0.0003664,0.0003664,0.0003664
66,7920.57,0.67973,1.87543,0.79029,1.12593,0,0.81384,0.79433,0.86696,0.75384,0.78484,0.75742,0.80766,0.6884,0.44678,2.17254,0.60128,0.98459,0,0.0003565,0.0003565,0.0003565
67,8040.14,0.67628,1.87254,0.78427,1.12482,0,0.84281,0.80782,0.8742,0.76207,0.8112,0.77688,0.81039,0.69337,0.43612,2.15009,0.58494,0.96985,0,0.0003466,0.0003466,0.0003466
68,8159.86,0.66745,1.84674,0.77324,1.11757,0,0.86421,0.76272,0.87066,0.76232,0.8343,0.7445,0.80803,0.68932,0.44598,2.1493,0.59015,0.98883,0,0.0003367,0.0003367,0.0003367
69,8279.44,0.66767,1.82879,0.76731,1.11724,0,0.82081,0.81106,0.87723,0.76463,0.80179,0.76253,0.80907,0.69439,0.44057,2.11057,0.60022,0.98126,0,0.0003268,0.0003268,0.0003268
70,8398.9,0.66002,1.84057,0.76473,1.11523,0,0.84269,0.76279,0.86744,0.7609,0.8096,0.72979,0.80003,0.6859,0.44087,2.10926,0.6034,0.98203,0,0.0003169,0.0003169,0.0003169
71,8517.72,0.65989,1.83847,0.76181,1.11568,0,0.84737,0.7839,0.87273,0.76808,0.83736,0.73599,0.8043,0.69457,0.4387,2.17618,0.5944,0.97829,0,0.000307,0.000307,0.000307
72,8636.16,0.66712,1.82017,0.75888,1.11667,0,0.8286,0.78068,0.86614,0.76238,0.81289,0.73974,0.79811,0.68991,0.43741,2.15929,0.61523,0.98133,0,0.0002971,0.0002971,0.0002971
73,8757.21,0.66004,1.8331,0.75115,1.11455,0,0.87244,0.78123,0.87859,0.77306,0.83687,0.74883,0.80951,0.69907,0.43081,2.12396,0.5946,0.97709,0,0.0002872,0.0002872,0.0002872
74,8877.17,0.65767,1.81287,0.75281,1.11364,0,0.84873,0.77175,0.87509,0.76568,0.81964,0.74653,0.8131,0.69952,0.44045,2.09504,0.57474,0.98716,0,0.0002773,0.0002773,0.0002773
75,8996.75,0.65627,1.78204,0.74034,1.10886,0,0.87153,0.77164,0.88661,0.77354,0.82537,0.75646,0.81555,0.70325,0.44114,2.12171,0.56951,0.98045,0,0.0002674,0.0002674,0.0002674
76,9116.43,0.6562,1.7888,0.74308,1.11299,0,0.81358,0.80732,0.87085,0.75936,0.84833,0.70683,0.80331,0.69147,0.43441,2.10015,0.6101,0.97594,0,0.0002575,0.0002575,0.0002575
77,9236.27,0.64751,1.77567,0.7334,1.1027,0,0.85181,0.79676,0.87539,0.76886,0.80454,0.7671,0.80845,0.69886,0.42939,2.05302,0.58035,0.97828,0,0.0002476,0.0002476,0.0002476
78,9355.63,0.64623,1.77015,0.72529,1.10853,0,0.83856,0.78686,0.87753,0.76563,0.8094,0.75826,0.81346,0.69794,0.43774,2.03895,0.59019,0.97999,0,0.0002377,0.0002377,0.0002377
79,9478.63,0.63971,1.76123,0.72969,1.10283,0,0.83278,0.78545,0.87814,0.77109,0.8138,0.75582,0.81102,0.69513,0.42544,2.13769,0.56738,0.96963,0,0.0002278,0.0002278,0.0002278
80,9599.53,0.63779,1.76375,0.71019,1.09944,0,0.81892,0.80525,0.87306,0.76768,0.79649,0.77056,0.80483,0.69694,0.43619,2.07159,0.59064,0.97883,0,0.0002179,0.0002179,0.0002179
81,9719.22,0.64936,1.76083,0.73033,1.10451,0,0.8591,0.77144,0.87524,0.76854,0.82647,0.73792,0.80668,0.6967,0.43427,2.07711,0.5757,0.97804,0,0.000208,0.000208,0.000208
82,9838.28,0.63456,1.73547,0.71553,1.09936,0,0.87611,0.78858,0.88293,0.77319,0.84171,0.75729,0.8096,0.6951,0.42927,2.05295,0.56768,0.97858,0,0.0001981,0.0001981,0.0001981
83,9958.52,0.64195,1.74802,0.70447,1.09721,0,0.83403,0.80501,0.87951,0.7691,0.79527,0.76279,0.80413,0.69758,0.42237,2.07338,0.56705,0.96812,0,0.0001882,0.0001882,0.0001882
84,10080,0.62779,1.72109,0.69881,1.09257,0,0.86562,0.75385,0.8723,0.76616,0.82884,0.72001,0.80381,0.69865,0.42932,2.13846,0.57624,0.97246,0,0.0001783,0.0001783,0.0001783
85,10201.5,0.62642,1.70936,0.69629,1.08798,0,0.86117,0.77502,0.87455,0.7665,0.82283,0.74205,0.80023,0.69188,0.42483,2.12287,0.56913,0.97067,0,0.0001684,0.0001684,0.0001684
86,10323.2,0.62738,1.73188,0.70329,1.09324,0,0.87258,0.76257,0.87397,0.76948,0.83704,0.73361,0.80475,0.69503,0.42851,2.14482,0.56345,0.97304,0,0.0001585,0.0001585,0.0001585
87,10444.7,0.62667,1.70646,0.69712,1.09189,0,0.85693,0.77651,0.87591,0.77026,0.83511,0.72506,0.80691,0.69829,0.43014,2.18685,0.55737,0.97285,0,0.0001486,0.0001486,0.0001486
88,10565.7,0.61889,1.69495,0.69027,1.08758,0,0.82735,0.81025,0.88241,0.77716,0.79021,0.77124,0.8107,0.70309,0.4267,2.12965,0.55665,0.97076,0,0.0001387,0.0001387,0.0001387
89,10686.7,0.62664,1.68316,0.69006,1.08895,0,0.87545,0.76312,0.88057,0.77521,0.83902,0.73094,0.81467,0.70069,0.42844,2.13378,0.56219,0.97234,0,0.0001288,0.0001288,0.0001288
90,10808.1,0.61685,1.7059,0.68074,1.08614,0,0.8347,0.78322,0.86968,0.76434,0.79885,0.7411,0.79825,0.6877,0.42574,2.15191,0.57435,0.97202,0,0.0001189,0.0001189,0.0001189
91,10924.7,0.52504,1.45634,0.47863,1.06662,0,0.83717,0.77085,0.86069,0.75316,0.80509,0.72827,0.79087,0.67846,0.4386,2.16538,0.58202,0.97918,0,0.000109,0.000109,0.000109
92,11039.2,0.50629,1.40419,0.45199,1.0542,0,0.82544,0.77908,0.86559,0.75555,0.78192,0.74774,0.79907,0.68515,0.43379,2.17609,0.5836,0.97996,0,9.91e-05,9.91e-05,9.91e-05
93,11155.6,0.49984,1.36429,0.43957,1.04851,0,0.86857,0.74417,0.86398,0.75727,0.83733,0.71257,0.79627,0.68817,0.43559,2.19969,0.58906,0.98402,0,8.92e-05,8.92e-05,8.92e-05
94,11270.7,0.49957,1.36983,0.43379,1.04545,0,0.86889,0.75345,0.86661,0.75927,0.84317,0.72273,0.7958,0.69048,0.43578,2.1584,0.57759,0.98248,0,7.93e-05,7.93e-05,7.93e-05
95,11386.5,0.49485,1.34911,0.42431,1.0466,0,0.86461,0.75339,0.86411,0.75874,0.8343,0.72806,0.79676,0.69196,0.43397,2.18486,0.57984,0.97983,0,6.94e-05,6.94e-05,6.94e-05
96,11502.2,0.49044,1.33278,0.41849,1.03722,0,0.84806,0.76206,0.86791,0.76119,0.829,0.7151,0.79577,0.69226,0.43029,2.17409,0.5732,0.97619,0,5.95e-05,5.95e-05,5.95e-05
97,11617.5,0.48629,1.31941,0.41757,1.0382,0,0.84678,0.77184,0.86954,0.7633,0.82098,0.723,0.7992,0.69504,0.43132,2.17428,0.57028,0.97831,0,4.96e-05,4.96e-05,4.96e-05
98,11733.3,0.48517,1.3132,0.41124,1.03798,0,0.836,0.78301,0.86829,0.76056,0.82163,0.72396,0.79964,0.69584,0.43146,2.19364,0.56956,0.97756,0,3.97e-05,3.97e-05,3.97e-05
99,11849.3,0.47993,1.29587,0.40446,1.03169,0,0.85542,0.75749,0.86586,0.76106,0.82225,0.72384,0.79762,0.69543,0.42615,2.19335,0.56816,0.97304,0,2.98e-05,2.98e-05,2.98e-05
100,11964.7,0.47532,1.30721,0.40884,1.03443,0,0.84246,0.76807,0.86864,0.76422,0.83646,0.71333,0.8004,0.69676,0.42614,2.21276,0.56622,0.97298,0,1.99e-05,1.99e-05,1.99e-05
