epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.5266,1.30506,3.00032,1.70983,0.45039,0.53648,0.4633,0.27765,1.16392,2.00905,1.51201,0.000332255,0.000332255,0.000332255
2,154.647,1.33782,2.43702,1.7239,0.47301,0.51217,0.44844,0.2487,1.35051,2.02708,1.6612,0.000599695,0.000599695,0.000599695
3,228.73,1.31902,2.11077,1.70284,0.46929,0.57099,0.48467,0.29156,1.21999,1.56436,1.56384,0.000801135,0.000801135,0.000801135
4,302.73,1.27724,1.87682,1.65571,0.56102,0.53399,0.54607,0.35456,1.15501,1.62764,1.4908,0.000703,0.000703,0.000703
5,377.144,1.21631,1.6861,1.61142,0.55991,0.58741,0.60433,0.3963,1.04575,1.47349,1.38711,0.000604,0.000604,0.000604
6,451.468,1.1601,1.51261,1.55064,0.63638,0.62121,0.66601,0.45825,0.96602,1.22207,1.31595,0.000505,0.000505,0.000505
7,525.977,1.09643,1.35231,1.50082,0.73322,0.62432,0.69386,0.48783,0.89066,1.08199,1.25525,0.000406,0.000406,0.000406
8,600.69,1.04264,1.23534,1.45916,0.67955,0.69476,0.72336,0.52195,0.85788,0.99434,1.2381,0.000307,0.000307,0.000307
9,675.639,0.99093,1.15225,1.41976,0.75639,0.69647,0.72549,0.54253,0.81364,0.91759,1.20809,0.000208,0.000208,0.000208
10,750.69,0.93358,1.02687,1.3611,0.75577,0.68158,0.77214,0.57555,0.78904,0.86705,1.18059,0.000109,0.000109,0.000109
