epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.9237,1.6803,3.46193,1.57783,0.02483,0.60983,0.11644,0.05797,1.84659,3.17882,1.53125,0.000328125,0.000328125,0.000328125
2,62.2709,1.70393,2.56103,1.55868,0.29556,0.26391,0.21919,0.1074,1.7727,2.36774,1.66082,0.000657093,0.000657093,0.000657093
3,81.8201,1.69725,2.25808,1.58307,0.20076,0.32931,0.17104,0.08503,1.75774,2.97171,1.7541,0.00098166,0.00098166,0.00098166
4,100.97,1.67887,2.15043,1.56771,0.27746,0.2806,0.21431,0.10148,1.76709,2.51597,1.73191,0.0009802,0.0009802,0.0009802
5,120.023,1.63893,2.02341,1.5376,0.33186,0.3083,0.2477,0.12053,1.73762,2.37926,1.74052,0.0009736,0.0009736,0.0009736
6,140.11,1.62844,2.02545,1.55745,0.38961,0.33353,0.30986,0.15714,1.68224,2.15399,1.59951,0.000967,0.000967,0.000967
7,159.482,1.62056,1.95164,1.53705,0.31964,0.35079,0.25038,0.1254,1.70613,2.46111,1.65354,0.0009604,0.0009604,0.0009604
8,178.582,1.63027,1.91878,1.53495,0.38698,0.3259,0.26378,0.13331,1.67783,2.46668,1.64469,0.0009538,0.0009538,0.0009538
9,197.617,1.60777,1.8383,1.53483,0.32516,0.37101,0.26734,0.13645,1.66678,2.26099,1.60367,0.0009472,0.0009472,0.0009472
10,217.142,1.57999,1.85054,1.51115,0.30779,0.34322,0.25248,0.12824,1.70989,2.30512,1.66095,0.0009406,0.0009406,0.0009406
11,236.59,1.57357,1.79161,1.50152,0.35716,0.36926,0.30625,0.15613,1.61859,2.11787,1.60215,0.000934,0.000934,0.000934
12,255.982,1.57195,1.74681,1.50755,0.42843,0.31915,0.28988,0.15143,1.64324,2.20393,1.6284,0.0009274,0.0009274,0.0009274
13,275.908,1.54524,1.73005,1.4714,0.38903,0.40537,0.32963,0.17289,1.64469,2.09963,1.58217,0.0009208,0.0009208,0.0009208
14,295.606,1.5691,1.69952,1.48355,0.40704,0.41725,0.35731,0.18711,1.63489,2.12516,1.63911,0.0009142,0.0009142,0.0009142
15,315.101,1.54072,1.71017,1.49212,0.42974,0.36065,0.33753,0.18086,1.649,2.17047,1.60256,0.0009076,0.0009076,0.0009076
16,334.006,1.54959,1.66233,1.4847,0.42542,0.38889,0.36521,0.19437,1.6307,1.90893,1.59938,0.000901,0.000901,0.000901
17,353.185,1.53887,1.61908,1.47157,0.43771,0.36812,0.35144,0.1855,1.68138,2.04109,1.67134,0.0008944,0.0008944,0.0008944
18,372.078,1.53543,1.60561,1.4745,0.39117,0.4138,0.36505,0.19555,1.62353,1.85843,1.57488,0.0008878,0.0008878,0.0008878
19,390.98,1.52399,1.58395,1.46744,0.43605,0.45116,0.40173,0.21612,1.63916,1.81151,1.57674,0.0008812,0.0008812,0.0008812
20,409.968,1.53026,1.60309,1.47212,0.46347,0.36664,0.36967,0.19555,1.66748,2.02997,1.61266,0.0008746,0.0008746,0.0008746
